"Source:","/home/kwendenarmo/git-repos/local/akornsys-rdi/robgednaut/brd/roben.sch"
"Date:","mié 03 feb 2016 19:03:34 CET"
"Tool:","Eeschema 4.0.1-3.201512221402+6198~38~ubuntu14.04.1-stable"
"Generator:","/usr/share/doc/kicad/scripts/bom-in-python/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","90"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","CP","Capacitors_SMD:c_elec_5x5.3","Polarised capacitor","VE-100M1HTR-0505"
"C3, ","1","1.6nF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","GRM2165C1H162JA01D"
"C4, ","1","390nF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","VJ0805Y394KXJTW1BC"
"C5, ","1","2.4nF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","GRM2165C1H242JA01D"
"C6, ","1","4.7uF","C","Capacitors_SMD:C_1206_HandSoldering","Unpolarized capacitor","UMK316AB7475KL-T"
"C7, C8, ","2","470uF","CP","Capacitors_SMD:c_elec_8x10","Polarised capacitor","UWT1A471MNL1GS"
"C9, C2, C10, ","3","100nF","C","Capacitors_SMD:C_0805_HandSoldering","Unpolarized capacitor","C0805C104K5RACTU"
"D1, ","1","RED","LED","LEDs:LED-0805","","LS Q976-NR-1"
"D3, ","1","YELLOW","LED","LEDs:LED-0805","","LY R976-PS-36"
"D4, ","1","GREEN","LED","LEDs:LED-0805","","LG R971-KN-1"
"D5, ","1","SD2114S040S8R0","D","Diodes_SMD:Diode-SMB_Handsoldering","Diode","SD2114S040S8R0"
"D6, ","1","BLUE","LED","LEDs:LED-0805","","LB Q39G-L2N2-35-1"
"D11, ","1","TCMBD914","Diode-sot23","Housings_SOT-23_SOT-143_TSOT-6:SOT-23_Handsoldering","Diode","TCMBD914"
"D13, D2, ","2","B340","D_Schottky","Diodes_SMD:Diode-SMC_Handsoldering","Diode schottky","B340-F"
"D14, D18, D15, D19, ","4","5V1","ZENER","Diodes_SMD:SOD-123","Diode zener","BZT52B5V1"
"D16, D12, D20, D17, D21, D7, D8, D9, D10, ","9","ORANGE","LED","LEDs:LED-0805","","LO R976-PS-1"
"F1, ","1","1.5A PPTC","F_Small","Fuse_Holders_and_Fuses:Fuse_SMD2920","Fuse","0ZCF0150FF2C"
"J1, ","1","POWER IN","CONN_01X03","asrdi-conn:combo-barrel5.5x2.1-2p5.08","Connector 01x03","1776493-2 / RAPC722X"
"J2, ","1","BT HC-05","CONN_01X06","asrdi-socket:HC-05","Connector 01x06","61303211821"
"J3, ","1","1+","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
"J4, ","1","1-","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
"J5, ","1","2+","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
"J6, ","1","2-","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
"J7, J9, ","2","+V","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
"J10, J8, ","2","GND","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
"J11, ","1","A","CONN_01X01","Wire_Pads:SolderWirePad_single_2-5mmDrill","Connector 01x01",""
